NCMCAM;LCMRT1;NSIGES
ABO;ABO POSTAUX;1
CDG;RELAY CDG par IPS;1
ORL;ORLY AEROPORT;1
ROI;ROISSY AEROPORT;1
SP1;SPPS PARIS EST;99
SP3;SPPS PARIS OUEST;99
0;GUICHET PRIORITAIRE;1
1;GUICHET;1
2;EQUIPE;1
4;MEDIAS;1
6;QUAI IMPRIMERIE;1
7;PCO SDVP;1
602;BEAUVAIS;60
604;MONTATAIRE LV;60
605;MONTATAIRE PORTAGE;60
607;LONGUEIL 60 ABO DIFF ;60
750;BERCY 75;75
753;ARCUEIL 75 ABO DIFF;75
760;ST OUEN 75;75
762;NANTERRE 75 ABO DIFF;75
773;VULAINES 77 ABO DIFF;77
774;ST THIBAULT 77 ABO DIFF;77
775;COULOMMIERS 77 ABO DIFF;77
776;MAREUILL 77 ABO DIFF;77
777;AULNAY 77 ABO DIFF;77
779;VAUX LE PENIL ABO DIFF 77;77
782;MUREAUX 78 ABO DIFF;78
788;BOIS ARCY 78 ABO DIFF;78
789;ARGENTEUIL 78 ABO DIFF;78
911;ETRECHY 91 ABO DIFF;91
913;CHILLY 91 ABO DIFF;91
917;TIGERY 91 ABO DIFF;91
921;ARCUEIL 92 ABO DIFF;92
922;ST CLOUD;92
924;NANTERRE ABO DIFF 92;92
925;ARGENTEUIL 92 ABO DIFF;92
927;ST OUEN 92;92
929;CHILLY 92 ABO DIFF;92
933;AULNAY 93 ABO DIFF;93
934;SARCELLES 93 ABO DIFF;93
935;FONTENAY 93;93
936;VCP ST OUEN 93;93
939;ST OUEN 93;93
941;ARCUEIL 94 ABO DIFF;94
943;BONNEUIL 94 ABO DIFF;94
945;FONTENAY 94;94
951;OSNY 95 ABO DIFF;95
953;ARGENTEUIL 95 ABO DIFF;95
955;SARCELLES 95 ABO DIFF;95
999;PASSE ABO;1
