code_route;libelle_route;code_centre;libelle_centre
ABO0;ABO POSTAUX;1;
CDG0;RELAY CDG par IPS;1;
ORL0;ORLY AEROPORT;1;
ROI0;ROISSY AEROPORT;1;
SP10;SPPS PARIS EST;99;
SP30;SPPS PARIS OUEST;99;
0000;GUICHET PRIORITAIRE;1;
0010;GUICHET;1;
0020;EQUIPE;1;
0040;MEDIAS;1;
0060;QUAI IMPRIMERIE;1;
0070;PCO SDVP;1;
6020;BEAUVAIS;51;BEAUVAIS
6040;MONTATAIRE LV;50;MONTATAIRE
6050;MONTATAIRE PORTAGE;50;MONTATAIRE
6070;LONGUEIL 60 ABO DIFF;34;lONGUEIL
7500;BERCY 75;42;BERCY
7530;ARCUEIL 75 ABO DIFF;29;ARCUEIL
7600;ST OUEN 75;40;SAINT OUEN
7620;NANTERRE 75 ABO DIFF;28;NANTERRE
7730;VULAINES 77 ABO DIFF;7;VULAINES
774 N;ST THIBAULT 77 ABO DIFF;36;ST THIBAULT LES VIGNES
774 S;;36;ST THIBAULT LES VIGNES
7750;COULOMMIERS 77 ABO DIFF;4;MAREUIL
7760;MAREUILL 77 ABO DIFF;4;MAREUIL
7770;AULNAY 77 ABO DIFF;31;BLANC MESNIL
7790;VAUX LE PENIL ABO DIFF 77;35;VAUX LE PENIL
7820;MUREAUX 78 ABO DIFF;45;MUREAUX
7880;BOIS ARCY 78 ABO DIFF;10;BOIS ARCY
7890;ARGENTEUIL 78 ABO DIFF;33;ARGENTEUIL
9110;ETRECHY 91 ABO DIFF;14;ETRECHY
9130;CHILLY 91 ABO DIFF;13;CHILLY
9170;TIGERY 91 ABO DIFF;39;TIGERY LISSES
9210;ARCUEIL 92 ABO DIFF;29;ARCUEIL
9220;ST CLOUD;28;NANTERRE
9240;NANTERRE ABO DIFF 92;28;NANTERRE
9250;ARGENTEUIL 92 ABO DIFF;33;ARGENTEUIL
9270;ST OUEN 92;40;SAINT OUEN
9290;CHILLY 92 ABO DIFF;13;CHILLY
9330;AULNAY 93 ABO DIFF;31;BLANC MESNIL
9340;SARCELLES 93 ABO DIFF;23;SARCELLES
9350;FONTENAY 93;41;FONTENAY S BOIS
9390;ST OUEN 93;40;SAINT OUEN
9410;ARCUEIL 94 ABO DIFF;29;ARCUEIL
9430;BONNEUIL 94 ABO DIFF;;18;BONNEUIL
9450;FONTENAY 94;41;FONTENAY S BOIS
9510;OSNY 95 ABO DIFF;24;OSNY
9530;ARGENTEUIL 95 ABO DIFF;33;ARGENTEUIL
9550;SARCELLES 95 ABO DIFF;23;SARCELLES
